,time,username,likes
6823,2015-01-18 05:00:00+00,Copart,97169
6834,2015-01-18 05:00:00+00,eBayGlobal,3331416
6853,2015-01-18 05:00:00+00,invisalign,82510
6854,2015-01-18 05:00:00+00,lululemon,1119236
6858,2015-01-18 05:00:00+00,marriottinternational,232585
6865,2015-01-18 05:00:00+00,illuminainc,3579
6887,2015-01-19 05:00:00+00,Broadcom,9317
6905,2015-01-19 05:00:00+00,Cerner,12529
6922,2015-01-19 05:00:00+00,dexcom,15154
6930,2015-01-19 05:00:00+00,eBayGlobal,3332086
6942,2015-01-19 05:00:00+00,dollartree,1374026
6995,2015-01-19 05:00:00+00,Qualcomm,1234898
7021,2015-01-19 05:00:00+00,Walgreens,4376216
7041,2015-01-19 05:00:00+00,marriottinternational,232667
7056,2015-01-19 05:00:00+00,LamResearchCorporation,1653
7061,2015-01-19 05:00:00+00,Kraft,37505
7070,2015-01-19 05:00:00+00,CDWCorporation,59600
7073,2015-01-19 05:00:00+00,Cintas,10760
7108,2015-01-19 05:00:00+00,Costco,1247241
7110,2015-01-19 05:00:00+00,xcelenergy,14964
7141,2015-01-19 05:00:00+00,Verisign,312808
7178,2015-01-19 05:00:00+00,illuminainc,3582
7224,2015-01-19 05:00:00+00,OfficialCSX,139379
7238,2015-01-19 05:00:00+00,EA,3515336
7244,2015-01-19 05:00:00+00,lululemon,1120121
7253,2015-01-19 05:00:00+00,Copart,97732
7265,2015-01-19 05:00:00+00,splunk,6646
7275,2015-01-19 05:00:00+00,invisalign,82531
7331,2015-01-20 05:00:00+00,Costco,1247722
7357,2015-01-20 05:00:00+00,Walgreens,4376581
7369,2015-01-20 05:00:00+00,splunk,6650
7407,2015-01-20 05:00:00+00,CDWCorporation,59598
7427,2015-01-20 05:00:00+00,OfficialCSX,139408
7441,2015-01-20 05:00:00+00,Cerner,12541
7450,2015-01-20 05:00:00+00,Copart,98214
7451,2015-01-20 05:00:00+00,Broadcom,9322
7460,2015-01-20 05:00:00+00,Kraft,37535
7467,2015-01-20 05:00:00+00,Qualcomm,1234938
7485,2015-01-20 05:00:00+00,xcelenergy,14967
7491,2015-01-20 05:00:00+00,illuminainc,3586
7510,2015-01-20 05:00:00+00,EA,3517551
7533,2015-01-20 05:00:00+00,lululemon,1120951
7569,2015-01-20 05:00:00+00,LamResearchCorporation,1658
7595,2015-01-20 05:00:00+00,Verisign,314208
7626,2015-01-20 05:00:00+00,dexcom,15161
7681,2015-01-20 05:00:00+00,marriottinternational,232735
7727,2015-01-20 05:00:00+00,eBayGlobal,3332667
7733,2015-01-20 05:00:00+00,dollartree,1374262
7746,2015-01-20 05:00:00+00,invisalign,82558
7779,2015-01-20 05:00:00+00,Cintas,10763
7839,2015-01-21 05:00:00+00,Cintas,10770
7846,2015-01-21 05:00:00+00,CDWCorporation,59600
7857,2015-01-21 05:00:00+00,illuminainc,3588
7864,2015-01-21 05:00:00+00,LamResearchCorporation,1663
7910,2015-01-21 05:00:00+00,marriottinternational,232829
7953,2015-01-21 05:00:00+00,Walgreens,4376839
7974,2015-01-21 05:00:00+00,OfficialCSX,139450
7984,2015-01-21 05:00:00+00,Qualcomm,1234986
7988,2015-01-21 05:00:00+00,Broadcom,9329
8004,2015-01-21 05:00:00+00,EA,3518725
8026,2015-01-21 05:00:00+00,lululemon,1121711
8051,2015-01-21 05:00:00+00,Copart,98859
8080,2015-01-21 05:00:00+00,splunk,6653
8107,2015-01-21 05:00:00+00,dollartree,1374529
8111,2015-01-21 05:00:00+00,invisalign,82574
8141,2015-01-21 05:00:00+00,Kraft,37564
8150,2015-01-21 05:00:00+00,dexcom,15172
8173,2015-01-21 05:00:00+00,eBayGlobal,3333098
8184,2015-01-21 05:00:00+00,Cerner,12553
8222,2015-01-21 05:00:00+00,Verisign,314906
8228,2015-01-21 05:00:00+00,xcelenergy,14970
8234,2015-01-21 05:00:00+00,Costco,1248182
8250,2015-01-22 05:00:00+00,Costco,1248740
8283,2015-01-22 05:00:00+00,dollartree,1374809
8294,2015-01-22 05:00:00+00,invisalign,82603
8304,2015-01-22 05:00:00+00,eBayGlobal,3333519
8342,2015-01-22 05:00:00+00,marriottinternational,232941
8396,2015-01-22 05:00:00+00,Kraft,37600
8408,2015-01-22 05:00:00+00,dexcom,15179
8441,2015-01-22 05:00:00+00,Verisign,314907
8493,2015-01-22 05:00:00+00,lululemon,1122318
8498,2015-01-22 05:00:00+00,Broadcom,9335
8518,2015-01-22 05:00:00+00,EA,3521817
8522,2015-01-22 05:00:00+00,illuminainc,3596
8536,2015-01-22 05:00:00+00,xcelenergy,14975
8558,2015-01-22 05:00:00+00,Qualcomm,1235167
8562,2015-01-22 05:00:00+00,Cerner,12559
8569,2015-01-22 05:00:00+00,Copart,99827
8583,2015-01-22 05:00:00+00,LamResearchCorporation,1675
8593,2015-01-22 05:00:00+00,OfficialCSX,139486
8601,2015-01-22 05:00:00+00,CDWCorporation,59602
8662,2015-01-22 05:00:00+00,Walgreens,4377031
8671,2015-01-22 05:00:00+00,splunk,6659
8685,2015-01-22 05:00:00+00,Cintas,10774
8733,2015-01-23 05:00:00+00,EA,3524380
8736,2015-01-23 05:00:00+00,OfficialCSX,139511
8752,2015-01-23 05:00:00+00,illuminainc,3603
8789,2015-01-23 05:00:00+00,Cintas,10779
8790,2015-01-23 05:00:00+00,CDWCorporation,59606
8841,2015-01-23 05:00:00+00,Cerner,12565
8882,2015-01-23 05:00:00+00,dexcom,15194
8902,2015-01-23 05:00:00+00,Qualcomm,1235679
8931,2015-01-23 05:00:00+00,xcelenergy,14980
8941,2015-01-23 05:00:00+00,Verisign,314899
8968,2015-01-23 05:00:00+00,Copart,100325
8991,2015-01-23 05:00:00+00,LamResearchCorporation,1700
9003,2015-01-23 05:00:00+00,eBayGlobal,3333974
9014,2015-01-23 05:00:00+00,lululemon,1122908
9039,2015-01-23 05:00:00+00,Costco,1249073
9045,2015-01-23 05:00:00+00,Walgreens,4377254
9068,2015-01-23 05:00:00+00,Kraft,37640
9079,2015-01-23 05:00:00+00,Broadcom,9343
9089,2015-01-23 05:00:00+00,dollartree,1375139
9111,2015-01-23 05:00:00+00,marriottinternational,233027
9147,2015-01-23 05:00:00+00,splunk,6667
9150,2015-01-23 05:00:00+00,invisalign,82646
9210,2015-01-24 05:00:00+00,EA,3526742
9215,2015-01-24 05:00:00+00,Walgreens,4377412
9236,2015-01-24 05:00:00+00,Qualcomm,1236196
9240,2015-01-24 05:00:00+00,OfficialCSX,139539
9250,2015-01-24 05:00:00+00,lululemon,1123478
9281,2015-01-24 05:00:00+00,Copart,100861
9284,2015-01-24 05:00:00+00,dollartree,1375429
9336,2015-01-24 05:00:00+00,Kraft,37662
9360,2015-01-24 05:00:00+00,Cerner,12577
9361,2015-01-24 05:00:00+00,Costco,1249312
9380,2015-01-24 05:00:00+00,Broadcom,9347
9392,2015-01-24 05:00:00+00,xcelenergy,14982
9449,2015-01-24 05:00:00+00,Cintas,10783
9453,2015-01-24 05:00:00+00,Verisign,314883
9476,2015-01-24 05:00:00+00,CDWCorporation,59608
9490,2015-01-24 05:00:00+00,splunk,6671
9499,2015-01-24 05:00:00+00,invisalign,82665
9535,2015-01-24 05:00:00+00,LamResearchCorporation,1721
9539,2015-01-24 05:00:00+00,dexcom,15207
9542,2015-01-24 05:00:00+00,eBayGlobal,3334514
9572,2015-01-24 05:00:00+00,marriottinternational,233135
9583,2015-01-24 05:00:00+00,illuminainc,3606
9651,2015-01-25 05:00:00+00,Qualcomm,1236642
9665,2015-01-25 05:00:00+00,Walgreens,4377617
9671,2015-01-25 05:00:00+00,Costco,1249554
9672,2015-01-25 05:00:00+00,splunk,6672
9694,2015-01-25 05:00:00+00,xcelenergy,14987
9718,2015-01-25 05:00:00+00,EA,3528961
9723,2015-01-25 05:00:00+00,OfficialCSX,139563
9748,2015-01-25 05:00:00+00,eBayGlobal,3335116
9760,2015-01-25 05:00:00+00,LamResearchCorporation,1728
9768,2015-01-25 05:00:00+00,illuminainc,3611
9799,2015-01-25 05:00:00+00,lululemon,1124064
9807,2015-01-25 05:00:00+00,Copart,101398
9848,2015-01-25 05:00:00+00,Cintas,10783
9851,2015-01-25 05:00:00+00,CDWCorporation,59605
9881,2015-01-25 05:00:00+00,marriottinternational,233227
9946,2015-01-25 05:00:00+00,Kraft,37683
9958,2015-01-25 05:00:00+00,dollartree,1375693
9997,2015-01-25 05:00:00+00,Cerner,12580
10009,2015-01-25 05:00:00+00,Broadcom,9352
10046,2015-01-25 05:00:00+00,Verisign,314864
10066,2015-01-25 05:00:00+00,invisalign,82682
10092,2015-01-25 05:00:00+00,dexcom,15221
10133,2015-01-26 05:00:00+00,eBayGlobal,3335914
10143,2015-01-26 05:00:00+00,lululemon,1124656
10144,2015-01-26 05:00:00+00,Copart,102047
10193,2015-01-26 05:00:00+00,Verisign,314853
